Addresse,Code_insee,Departement,Latitude,Longitude,MinDistGar,MoyDistGar,train,rer,metro,tramway,Distance,DurationPoliceMin
Auvers-Saint-Georges 91580,91580,91,48.4914374,2.2197404,1.8756638400617758,45.69911428526015,0,1,0,0,7.278921084836651,0.18333333333333332
Auvers-sur-Oise 95430,95430,95,49.0701875,2.1718687,0.2528822925032129,34.02528163027507,1,0,0,0,6.871889060423768,0.2997222222222222
Avon 77210 (Bercelle - Gare),77210,77,48.4164685,2.7240546,0.19324038119426407,58.72932054675951,1,0,0,0,2.0679388944120918,0.17166666666666666
Avon 77210 (Butte Montceau),77210,77,48.4117517,2.7372456,0.9372326966550536,59.584974362300976,1,0,0,0,2.7760600475924107,0.24416666666666667
Avon 77210 (Centre-ville - Village),77210,77,48.404886700000006,2.7207225,1.3512382636623954,59.627597518996566,1,0,0,0,1.4949306208067454,0.15833333333333333
Avon 77210 (Terrasses - Valvins),77210,77,48.4022,2.7202,1.6474426954417578,59.846377191370266,1,0,0,0,1.5185316859855391,0.18333333333333332
Avon 77210 (Vallée),77210,77,48.4099162,2.725151,0.7270842460009399,59.33450756148536,1,0,0,0,1.857733899823316,0.17166666666666666
Avrainville 91630,91630,91,48.5623782,2.247154,2.6657341922067563,38.79426525630204,0,1,0,0,2.85294409765318,0.16
Bagneaux-sur-Loing 77167,77167,77,48.2314677,2.7042711,0.21469277218382388,75.36808646675252,1,0,0,0,4.009065093610469,0.15416666666666667
Bagneux 92220 (Centre-ville),92220,92,47.2594052,-0.078503,139.6954864796702,252.6327819519257,1,0,0,0,242.85123697572843,2.8530555555555557
Bagneux 92220 (Champ des Oiseaux),92220,92,48.7956,2.3080000000000003,1.0733657205903722,20.48900361331139,0,1,0,0,0.2144656521894507,0.03111111111111111
Bagneux 92220 (La Rapie),92220,92,48.7956,2.3080000000000003,1.0733657205903722,20.48900361331139,0,1,0,0,0.2144656521894507,0.03111111111111111
Bagneux 92220 (Pierre Plate - Prunier Hardy - Anatole France),92220,92,48.7956,2.3080000000000003,1.0733657205903722,20.48900361331139,0,1,0,0,0.2144656521894507,0.03111111111111111
Bagneux 92220 (Schweitzer - Barbanson - Paul Vaillant Couturier),92220,92,48.7956,2.3080000000000003,1.0733657205903722,20.48900361331139,0,1,0,0,0.2144656521894507,0.03111111111111111
Bagneux 92220 (Tertres - Cuverons - Brugnauts),92220,92,48.7956,2.3080000000000003,1.0733657205903722,20.48900361331139,0,1,0,0,0.2144656521894507,0.03111111111111111
Bagnolet 93170,93170,93,48.8688199,2.4173658,0.3906021923180095,19.89556034941209,0,0,1,0,1.5183337182679302,0.15777777777777777
Bagnolet 93170 (Centre Sud),93170,93,48.8639559,2.4198754,0.27911324755231504,19.946937249247906,0,0,1,0,1.6541871547811144,0.18777777777777777
Bagnolet 93170 (Centre-ville),93170,93,48.868074799999995,2.4191390999999998,0.3534205648930715,19.947401939186136,0,0,1,0,1.6199413458888818,0.14416666666666667
Bagnolet 93170 (La Dhuys),93170,93,48.8728112,2.4165411,0.5859415205689116,19.910202922711758,0,0,0,1,1.07050841783604,0.11583333333333333
Bagnolet 93170 (Le Plateau),93170,93,48.8766714,2.4307333,1.1005243449579747,20.4398359369387,0,0,1,0,1.3171801996275492,0.14277777777777778
Bagnolet 93170 (Les Coutures),93170,93,48.8593943,2.4189958,0.5019859515936439,19.908244447632008,0,0,1,0,1.8009404671171656,0.19583333333333333
Bagnolet 93170 (Les Malassis),93170,93,48.8726008,2.4248853,1.0068096541288822,20.18417940188265,0,0,1,0,1.3073523644331726,0.13944444444444445
Bailly 78870,78870,78,48.838001,2.0802293,1.4369531610974926,27.88629078506984,1,0,0,0,3.555662467208384,0.13333333333333333
Bailly-Romainvilliers 77700,77700,77,48.846815899999996,2.8212923,3.639574380063214,41.33271373987877,0,1,0,0,3.019643075191787,0.16027777777777777
Ballainvilliers 91160,91160,91,48.6752123,2.2944782999999997,2.066245832596118,28.677134544959905,0,1,0,0,2.268759019873527,0.14333333333333334
Ballancourt-sur-Essonne 91610,91610,91,48.5262129,2.3858373,1.2751755400557285,41.58586697560381,0,1,0,0,11.404709485971395,0.43666666666666665
Balloy 77118,77118,77,48.3981657,3.1467331,8.308099943543624,79.37051798103305,1,0,0,0,14.168757769908384,0.32805555555555554
Banthelu 95420,95420,95,49.1266301,1.8148772,9.765310541665881,53.4102824302657,1,0,0,0,19.38539227988891,0.39055555555555554
Barbizon 77630,77630,77,48.4447386,2.6064391,7.196766199304306,52.731478844884975,1,0,0,0,8.176951006781433,0.24
Baulne 91590,91590,91,48.4931951,2.3598564,1.0902392354697015,44.60816430778668,0,1,0,0,13.540405010100267,0.40055555555555555
Bazainville 78550,78550,78,48.804351200000006,1.6686779999999999,2.7889150495099915,53.6371363885195,1,0,0,0,20.756884420301112,0.44277777777777777
Bazemont 78580,78580,78,48.928346600000005,1.8649214,2.1278796327301555,41.30117610051533,1,0,0,0,8.411237439342349,0.30777777777777776
Bazoches-lès-Bray 77118,77118,77,48.398458000000005,3.1884552999999998,9.300196627954966,81.63811325551822,1,0,0,0,17.25842014710232,0.3591666666666667
Bazoches-sur-Guyonne 78490,78490,78,48.777897700000004,1.8601198,4.2232516806078,41.726330919225006,1,0,0,0,6.658605649492009,0.26472222222222225
Beauchamp 95250,95250,95,49.0115876,2.1993602,0.4802953381118649,28.656186225932533,1,1,0,0,2.7743827318799497,0.13527777777777777
Beauchery-Saint-Martin 77560,77560,77,48.61625720000001,3.4029092000000003,9.999055438421259,84.31264845698703,1,0,0,0,9.688575907734524,0.19444444444444445
Beaumont-du-Gâtinais 77890,77890,77,48.1365394,2.4763389,18.335864576095418,81.4238606759916,0,1,0,0,22.299814894027456,0.36972222222222223
Beaumont-sur-Oise 95260,95260,95,49.1419322,2.2849324,0.8266079354127117,38.77898760877369,1,0,0,0,13.739505550536414,0.3552777777777778
Bellot 77510,77510,77,48.8570412,3.3182562000000004,12.484559839453784,74.66822202547854,1,0,0,0,17.680467156923932,0.3363888888888889
Belloy-en-France 95270,95270,95,49.0892802,2.367884,1.1233935260945445,33.698886124149574,1,0,0,0,9.018065120506108,0.27055555555555555
Bennecourt 78270,78270,78,49.041242,1.560926,1.5316135728961295,64.27962596130422,1,0,0,0,11.628551218994993,0.3438888888888889
Bernay-Vilbert 77540,77540,77,48.6763829,2.9377531,7.836208421427598,52.22677548233446,1,0,0,0,18.767260128468664,0.42083333333333334
Bernes-sur-Oise 95340,95340,95,49.1620172,2.2985653,2.1235081481617826,40.683825168893975,1,0,0,0,16.164773375834663,0.4236111111111111
Bessancourt 95550,95550,95,49.0372777,2.2136286,0.3301153048259337,30.28213341790584,1,0,0,0,2.107296814023568,0.13722222222222222
Beton-Bazoches 77320,77320,77,48.701738,3.2444338,16.8130530537728,71.22575780461541,1,0,0,0,16.040129534346853,0.3194444444444444
Beynes 78650,78650,78,48.8558793,1.8735151,0.4828779931270939,39.96903434658307,1,0,0,0,7.715043251666106,0.18222222222222223
